"","CitationCode","Reference","CreationDate","ModificationDate","ReadBy","GetIt","nvpCount"
"1",1,"Jaques, R.P., Hardman, J.M., Laing, J.E., Smith, R.F., and Bent, E.1994.  Orchard trials in Canada on control of Cydia pomonella (Lep.: Tortricidae) by granulosis virus.  Entomophaga 39: 281-292.","1/8/2096","7/8/2096","","",NA
"2",2,"Welling, M., Nachtigall, G., and Zimmermann, G. 1994.  Metarhizium spp. isolates from Madagascar: morphology and effect of high temperature on growth and infectivity to the migratory locust, Locusta migratoria.  Entomophaga 39:351-361.","1/8/2096","7/8/2096","","",3
"3",5,"Bordat, D., Goudegnon, A.E., and Bouix, G. 1994.  Relationship between Apanteles flavipes (Hym.: Braconidae) and Nosema bordati (Microspora, Nosematidae) parasites of Chilo partellus (Lep.: Pyralidae).  Entomophaga 39: 21-32.","1/8/2096","7/8/2096","","",1
"4",7,"Papierok, B., Rafanomezantsoa-Randriambololona, B. N., and Ziat, N. 1994. Nouvelles donnees sur l'ecologie et le comportment entomopathogene experimental de l' entomophthorale Conidiobolus coronatus (Zygomycetes). Entomophaga 38: 299-312. ","1/8/2096","7/8/2096","","",2
"5",8,"Glare, T.R., Jackson, T.A., and Zimmerman, G. 1994.  Occurrence of Bacillus popilliae and two nematode pathogens in populations of Amphimallon solstitialis (Co.: Scarabaeidae) near Darmstadt, Germany.  Entomophaga 38: 441-450.","1/8/2096","7/8/2096","","",1
"6",9,"Bellini, R., Mullens, B.A., and Jespersen, J.B. 1992. Infectivity of two members of the Entomophthora muscae complex (Zygomycetes: Entomophthorales) for Musca domestica (Dipt.: Muscidae).  Entomophaga 37: 11-19.","1/8/2096","7/8/2096","","",1
"7",10,"Lamb, D.J., and Foster, G.N. 1986.  Some observations on Strongwellsea castrans (Zygomycetes: Entomophthorales), a parasite of root flies (Delia spp.) in the south of Scotland.  Entomophaga  31:91-97","1/8/2096","3/26/2097","","",1
"8",12,"Meynadier, G., Amargier, A., Girardie, J., and Vago, C. 1992. Une entomopoxvirose chez l'Orthoptere Anacridium aegyptium.  Entomophaga 37: 453-464.","1/8/2096","7/8/2096","","",NA
"9",13,"Bing, L.A., and Lewis, L. C. 1992.  Temporal relationships between Zea mays, Ostrinia nubilalis (Lep.: Pyralidae) and endophytic Beauveria bassiana.  Entomophaga 37: 525-536.","1/8/2096","7/8/2096","","",1
"10",14,"Fargues, J., and Maniania, N.K. 1992.  Variabilite de la sensibilite de Spodoptera littoralis (Lep.: Noctuidae) a l'Hyphomycete Entomopathogene Nomuraea riley.  Entomophaga 37: 545-554.","1/8/2096","7/8/2096","","",1
"11",15,"Kunimi, Y. 1993. A list of insect diseases of Japanese insects.  In Iwahana H.,  Okada M., Kunimi Y., and Shimazu M.  [eds.], Manual for the Research on Insect Pathogens. Nihon Shokubutuboeki-kyoukai, Tokyo, p222.","1/8/2096","7/12/2096","","",498
"12",16,"Humber, R.A. 1992. Collection of entomopathogenic fungal cultures: catolog of strains, 1992. U.S. Department of Agriculture, Agriculture Research Service. ARS-110. 177pp. (Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.)","1/8/2096","6/23/2000","","",670
"13",17,"Keller, S., 1994. The fungus Zoophthora elateridiphaga as an important mortality factor of the click beetle Agriotes sputator.  J. Invertebr. Pathol. 63: 90-91.","1/8/2096","7/8/2096","","",1
"14",18,"Maddox, J. 1993. Protozoa and virus germplasm collection. Illinois Natural History Survey, 607 East Peabody Dr., Champaign, IL 61820","1/8/2096","10/7/2096","","",33
"15",19,"Ni, X., Backus, E.A., and  Maddox, J.V. 1995. A new microsporidium, Nosema empoascae n. sp., from Empoascae fabae (Harris) (Homoptera: Auchenorrhyncha: Cicadellidae). J. Invertebr. Pathol. 66: 52-59.","1/8/2096","7/8/2096","","",1
"16",20,"Sotoshiro, H. and Kobayashi, M., 1995. Identification of viral structural polypeptides in the midgut and feces of the silkworm, Bombyx mori, infected with Bombyx Densovirus Type 2.  J. Invertebr. Pathol. 66: 60-67.","1/8/2096","7/8/2096","","",NA
"17",22,"Smallridge, C.J., Cooper, D.J., and Pinnock, D.E., 1995. The effect of the microsporidium Octosprea muscaedomesticae on adult Lucilia cuprina (Diptera: Calliphoridae).  J. Invertebr. Pathol. 66: 196-197.","1/8/2096","7/8/2096","","",1
"18",23,"Theilman, D.A., Fitzpatrick, S.M., and Skelton, F., 1995. Identification of a Granulosis Virus associated with mortality in the Blackheaded Fireworm, Rhopobota naevana (Hubner) (Lepidoptera, Tortricidae). J. Invertebr. Pathol. 66: 209-211.","1/8/2096","7/8/2096","","",NA
"19",24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.","1/8/2096","9/26/2000","","",1
"20",25,"Martignoni, M.E., and Iwai, P.J., 1986. A Catalogue of Viral Diseases of insects, Mites, and Ticks. USDA Forest Service, Pacific Northwest Research Station, Portland, OR, General Technical Report PNW-195, 4th edition,51 pp.","1/8/2096","7/12/2096","","",3
"21",26,"Brooks, W. M. 1993. Host-parasitoid-pathogen interactions; Chapter 11. In  Ignoffo, C.M., et al. [eds.] Parasites and Pathogens of Insects. Vol. 2: Pathogens. Academic Press. Inc.","1/8/2096","2/7/2097","","",55
"22",27,"Sprague, V. 1977. Annotated List of Species of Microsporidia. pp. 31-334. In Bulla, L.A. and Cheng, T.C. [eds.], Comparative Pathobiology V. 2; Systematics of the Microsporidia. Plenum Press, New York","1/8/2096","7/8/2096","","",734
"23",28,"Sprague, V., Becnel, J. J., and Hazard, E. I., 1992. Taxonomy of phylum Microspora. Critical Reviews in Microbiology. 18(5/6): 285-395. CRC Press, Inc.","1/8/2096","7/8/2096","","",67
"24",29,"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.","1/8/2096","7/8/2096","","",NA
"25",30,"Steinhaus, E.A.; and Marsh, G.A. 1967. Previously unreported accessions for diagnosis and new records.  Journal of Invertebrate Pathology 9(3):436-438","1/8/2096","6/16/2000","smb","",12
"26",31,"Morel, Gilles. (personal communication) Department de Biologie, Universite de la Reunion, 97715 Saint Denis Messag CEDEX 9, France.","1/8/2096","7/12/2096","","",NA
