"ERNnem","refCode","Reference","HostSpecies","PathogenSpecies","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
32,1235,"Bovien, P., 1937. Some types of association between nematodes and insects. Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening 101:1-114","Bibio ferruginatus","Steinernema affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Bibio ferruginatus","Steinernema affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1235,"Bovien, P., 1937. Some types of association between nematodes and insects. Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening 101:1-114","Bibio hortulana","Steinernema affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1235,"Bovien, P., 1937. Some types of association between nematodes and insects. Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening 101:1-114","Dilophus vulgaris","Steinernema affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1302,"Arne Peters, observer.  Frazione Pantalla, Ecogen Europe - 3A Parco, Tecnologico Agro-Alimentare, 06050 Todi (PG) Italy.","Helina duplicata","Steinernema affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1242,"Kozodoi, E. M., 1984. A new entomophagous nematode Neoaplectana anomali sp.n. (Rhabditida, Steinernematidae) and its biology. Zoologicheskii Zhurnal 63: 1605-1909. (in Russian).","Anomala dubia","Steinernema arenarium",1143021,"Anomala","Scarabaeidae","Coleoptera","Insecta",172738,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
37,1242,"Kozodoi, E. M., 1984. A new entomophagous nematode Neoaplectana anomali sp.n. (Rhabditida, Steinernematidae) and its biology. Zoologicheskii Zhurnal 63: 1605-1909. (in Russian).","Anomala dubia","Steinernema arenarium",1143021,"Anomala","Scarabaeidae","Coleoptera","Insecta",172738,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
38,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109","Melolontha hippocastani","Steinernema arenarium",903833,"Melolontha","Scarabaeidae","Coleoptera","Insecta",172738,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
39,1241,"Poinar, G. O., Jr. and Veremchuk, G. V., 1970. A new strain of entomopathogenic nematodes and geographical distribution of Neoaplectana carpocapsae Weiser (Rhabditida, Steinernematidae).  Zoologicheskii Zhurnal 49: 966-969. (in Russian).","Agriotes lineatus","Steinernema carpocapsae",292458,"Agriotes","Elateridae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
40,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Popillia japonica","Steinernema carpocapsae",7064,"Popillia","Scarabaeidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
41,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109","Popillia japonica","Steinernema carpocapsae",7064,"Popillia","Scarabaeidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
42,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Graphognathus leucoloma","Steinernema carpocapsae",299136,"Naupactus","Curculionidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
43,1240,"Poinar, G. O., Jr., 1986. Recognition of Neoaplectana species.  Proceedings of the Helminthological Society of Washington 53: 121-129.","Otiorhynchus sulcatus","Steinernema carpocapsae",122849,"Otiorhynchus","Curculionidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
44,1243,"Travassos, L., 1931. Una nova specie do genero Neoaplectana Steiner (Nematoda). Boletin Biologico, Sao Paulo 19: 150-154.","Cleonis mendicus","Steinernema carpocapsae",NA,NA,NA,NA,NA,34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
45,1244,"Pye, A. E. and Burman, M., 1978. Neoaplectana carpocapsae: infection and reproduction in large pine weevil larvae, Hylobius abietis.  Experimental Parasitology 46: 1-11","Hylobius pales","Steinernema carpocapsae",2339928,"Hylobius","Curculionidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
46,1245,"Akhurst, R. J., 1980. Morphological and functional dimorphism in Xenorhabdus spp. , bacteria symbiotically associated with insect pathogenic nematodes Neoaplectana and Heterorhabditis. Journal of General Microbiology 121: 303-309.","Vespula sp.","Steinernema carpocapsae",7451,"Vespula","Vespidae","Hymenoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
229,1248,"Georgis, R. and Hague, N.G.M., 1981. A neoaplectanis nematode in the larch sawfly Cephalcia lariciphila (Hymenoptera: Pamphiliidae).  Annals of Applied Biology 99: 171-177.","Cephalcia lariciphila","Steinernema carpocapsae",1384797,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
230,1240,"Poinar, G. O., Jr., 1986. Recognition of Neoaplectana species.  Proceedings of the Helminthological Society of Washington 53: 121-129.","Rhagoletis pomonella","Steinernema carpocapsae",28610,"Rhagoletis","Tephritidae","Diptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
47,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Cydia pomonella","Steinernema carpocapsae",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
48,1240,"Poinar, G. O., Jr., 1986. Recognition of Neoaplectana species.  Proceedings of the Helminthological Society of Washington 53: 121-129.","Cydia pomonella","Steinernema carpocapsae",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
49,1240,"Poinar, G. O., Jr., 1986. Recognition of Neoaplectana species.  Proceedings of the Helminthological Society of Washington 53: 121-129.","Cydia pomonella","Steinernema carpocapsae",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
50,1249,"Weiser, J., 1955. Neoaplectana carpocapsae, n. sp. (Anguillaluata: Steinernematinae), novy cizopasnk housenek obalece jablecnho, Carpocapsa pomonnella L. Bestniik Ceskoslovenske Zoologick Spolecnosti 19: 44-51.","Cydia pomonella","Steinernema carpocapsae",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
51,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Cydia pomonella","Steinernema carpocapsae",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
52,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Cydia pomonella","Steinernema carpocapsae",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
53,1252,"Vinciguerra, M. T. and Tacconi, R., 1983. Variabilita morfologica di Neoaplectana carpocapsae Weiser, 1955 (Rhabditida, Nematoda) rinvenuta in larve di Laspeyresia pomonella (L.).  Bolletino del Instituto di Entomologia Guido Grandi, Universita di Bologna (Italy) 38:89-94.","Cydia pomonella","Steinernema carpocapsae",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
54,1283,"Jackson, G. J., 1965.  Differentiation of three species of Neoaplectana (Nematoda: Rhabditida), grown axenically.  Parasitol. 55: 571-578.","Cydia pomonella","Steinernema carpocapsae",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
55,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Agrotis segetum","Steinernema carpocapsae",47767,"Agrotis","Noctuidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
225,1251,"Stanuszek, S., 1974b. Neoaplectana feltiae pieridarum n. ecotype (Nematoa: Rhabditoidea, Steinernematidae)  a parasite of Pieris brassicae L. and Mamestra brassicae L. in Poland: morphology and biology.  Zeszty Problemowe Postepw Nauk Rolniczych 154: 361-391.","Mamestra brassicae","Steinernema carpocapsae",55057,"Mamestra","Noctuidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
56,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Helicoverpa armigera","Steinernema carpocapsae",29058,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
226,1251,"Stanuszek, S., 1974b. Neoaplectana feltiae pieridarum n. ecotype (Nematoa: Rhabditoidea, Steinernematidae)  a parasite of Pieris brassicae L. and Mamestra brassicae L. in Poland: morphology and biology.  Zeszty Problemowe Postepw Nauk Rolniczych 154: 361-391.","Pieris brassicae","Steinernema carpocapsae",7116,"Pieris","Pieridae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
57,1239,"Poinar, G. O., Jr., 1979. Nematodes for Biological Control of Insects. CRC Press, Boca Raton, FL.","Vitacea polistiformis","Steinernema carpocapsae",348704,"Vitacea","Sesiidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
