"ERNnem","HostSpecies","PathogenSpecies","PathogenStrain","StageInfected","TissueInfected","FieldOrLab","Country","SoilType","AssociatedBacterium","IntermediateHost","CreationDate","ModificationDate","Group","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
32,"Bibio ferruginatus","Steinernema affinis","not maintained","Larva","Hemocoel","Field","Denmark","grain and others","Xenorhabdus bovienii","none",1997-05-08,2000-09-21,"Nematode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Bibio hortulana","Steinernema affinis","not maintained","Larva","Hemocoel","Field","Denmark","grain and others","Xenorhabdus bovienii","none",1997-05-12,2000-02-23,"Nematode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Dilophus vulgaris","Steinernema affinis","not maintained","Larva","Hemocoel","Field","Denmark","grain and others","Xenorhabdus bovienii","none",1997-05-12,1999-02-12,"Nematode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Helina duplicata","Steinernema affinis","not maintained","Larva","Hemocoel","Field","Germany","sand / pasture","Xenorhabdus bovienii","none",1997-05-12,1999-02-12,"Nematode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Anomala dubia","Steinernema arenarium","Riazan","Larva","Hemocoel","Field","Russia","","Xenorhabdus sp.","none",1997-05-12,1999-02-12,"Nematode",1143021,"Anomala","Scarabaeidae","Coleoptera","Insecta",172738,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
37,"Anomala dubia","Steinernema arenarium","Voronez","Larva","Hemocoel","Field","Russia","","Xenorhabdus sp.","none",1997-05-12,1999-02-12,"Nematode",1143021,"Anomala","Scarabaeidae","Coleoptera","Insecta",172738,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
38,"Melolontha hippocastani","Steinernema arenarium","arenaria (syn.)","Larva","Hemocoel","Field","Russia","","Xenorhabdus sp.","none",1997-05-14,1999-02-12,"Nematode",903833,"Melolontha","Scarabaeidae","Coleoptera","Insecta",172738,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
39,"Agriotes lineatus","Steinernema carpocapsae","Agriotos","Larva","Hemocoel","Field","Russia","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",292458,"Agriotes","Elateridae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
40,"Popillia japonica","Steinernema carpocapsae","Chresima (syn.)","Larva","Hemocoel","Field","USA","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",7064,"Popillia","Scarabaeidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
41,"Popillia japonica","Steinernema carpocapsae","unknown","Larva","Hemocoel","Field","USA","golfcourse, sports fields, turf, potted yew","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",7064,"Popillia","Scarabaeidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
42,"Graphognathus leucoloma","Steinernema carpocapsae","Argentinian","Larva","Hemocoel","Field","Argentina","","Xenorhabdus nematophilus","none",1997-05-14,2000-12-07,"Nematode",299136,"Naupactus","Curculionidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
43,"Otiorhynchus sulcatus","Steinernema carpocapsae","Breton","Larva","Hemocoel","Field","France","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",122849,"Otiorhynchus","Curculionidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
44,"Cleonis mendicus","Steinernema carpocapsae","menozzi (syn.)","Larva","Hemocoel","Field","Italy","","Xenorhabdus nematophilus","none",1997-05-14,2000-02-05,"Nematode",NA,NA,NA,NA,NA,34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
45,"Hylobius pales","Steinernema carpocapsae","not maintained","Larva","Hemocoel","Field","Sweden","coniferous forest","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",2339928,"Hylobius","Curculionidae","Coleoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
46,"Vespula sp.","Steinernema carpocapsae","not maintained","Larva","Hemocoel","Field","Tasmania","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",7451,"Vespula","Vespidae","Hymenoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
229,"Cephalcia lariciphila","Steinernema carpocapsae","not maintained","Pupa","Hemocoel","Field","United Kingdom","coniferous forest (larch)","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",1384797,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
230,"Rhagoletis pomonella","Steinernema carpocapsae","Rhagoletis","Pupa","Hemocoel","Field","USA","orchards","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",28610,"Rhagoletis","Tephritidae","Diptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
47,"Cydia pomonella","Steinernema carpocapsae","DD-136","Larva","Hemocoel","Field","USA","orchards","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
48,"Cydia pomonella","Steinernema carpocapsae","Sierra","Larva","Hemocoel","Field","USA","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
49,"Cydia pomonella","Steinernema carpocapsae","Mexican","Larva","Hemocoel","Field","Mexico","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
50,"Cydia pomonella","Steinernema carpocapsae","Czechoslovakian","Larva","Hemocoel","Field","Czech Republic","","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
51,"Cydia pomonella","Steinernema carpocapsae","not maintained","Larva","Hemocoel","Field","Poland","orchards","Xenorhabdus nematophilus","none",1997-05-14,1999-02-12,"Nematode",82600,"Cydia","Tortricidae","Lepidoptera","Insecta",34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
