"","RefCode","ERNntr","Host","Pathogen","Citation"
"1",151,1,"Agrotis segetum","Plusia gamma NPV (PgSNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"2",151,2,"Agrotis segetum","Pieris brassicae GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"3",151,3,"Agrotis exclamationis","Plusia gamma NPV (PgSNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"4",151,4,"Agrotis exclamationis","Pieris brassicae GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"5",151,5,"Agrotis exclamationis","Pieris brassicae GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"6",151,6,"Noctua pronuba","Plusia gamma NPV (PgSNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"7",151,7,"Noctua pronuba","Pieris brassicae GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"8",151,8,"Mamestra brassicae","Plusia gamma NPV (PgSNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"9",151,9,"Mamestra brassicae","Agrotis segetum GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"10",151,10,"Mamestra brassicae","Pieris brassicae GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"11",151,11,"Lacanobia oleracea","Agrotis segetum NPV  (AsMNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"12",151,12,"Lacanobia oleracea","Plusia gamma NPV (PgSNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"13",151,13,"Lacanobia oleracea","Agrotis segetum GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"14",151,14,"Lacanobia oleracea","Pieris brassicae GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"15",151,15,"Autographa gamma","Agrotis segetum NPV  (AsMNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"16",151,16,"Autographa gamma","Agrotis segetum GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"17",151,17,"Artogeia rapae","Mamestra brassicae NPV (MbMNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"18",151,18,"Artogeia rapae","Agrotis segetum NPV  (AsMNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"19",151,19,"Artogeia rapae","Plusia gamma NPV (PgSNPV)","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
"20",151,20,"Artogeia rapae","Agrotis segetum GV","Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37."
