PathogenSpecies,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom
Diplococcus melolonthae,NA,NA,NA,NA,NA,NA
Diplococcus  sp.,NA,NA,NA,NA,NA,NA
Hafnia  sp.,568,Hafnia,Hafniaceae,Enterobacterales,Gammaproteobacteria,NA
Strategus anataeus,NA,NA,NA,NA,NA,NA
Lambornella clarki,63334,Lambornella,Tetrahymenidae,Hymenostomatida,Oligohymenophorea,NA
Flavescence doree,NA,NA,NA,NA,NA,NA
Rickettsiella popilliae,490179,Rickettsiella,Coxiellaceae,Legionellales,Gammaproteobacteria,NA
Enterobacter cloacae,550,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,NA
Enterobacter  sp.,547,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,NA
Escherichia freundii,546,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,NA
Proteus inconstant,NA,NA,NA,NA,NA,NA
Proteus mirabilis,584,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,NA
Proteus morganii,582,Morganella,Morganellaceae,Enterobacterales,Gammaproteobacteria,NA
Proteus vulgaris,585,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,NA
Serratia entomophila,42906,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,NA
Serratia marcescens,615,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,NA
Serratia piscatorum,NA,NA,NA,NA,NA,NA
Serratia proteamaculans,28151,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,NA
Serratia sp.,613,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,NA
Pseudomonas aeruginosa,287,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,NA
Pseudomonas chlororaphis,587753,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,NA
Pseudomonas fluorescens,294,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,NA
Pseudomonas septida,NA,NA,NA,NA,NA,NA
Pseudomonas sp.,286,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,NA
Aeromonas  sp.,642,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,NA
Acinetobacter calcoaceticus,471,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,NA
Micrococcus candidus,NA,NA,NA,NA,NA,NA
Micrococcus flavus,384602,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetia,NA
Micrococcus nigrofaciens,NA,NA,NA,NA,NA,NA
Streptococcus faecaium,NA,NA,NA,NA,NA,NA
Streptococcus faecalis,1351,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,NA
Streptococcus  sp.,1301,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,NA
Clostridium  sp.,1485,Clostridium,Clostridiaceae,Eubacteriales,Clostridia,NA
Bacillus cereus,1396,Bacillus,Bacillaceae,Bacillales,Bacilli,NA
Bacillus hoplosternus,NA,NA,NA,NA,NA,NA
Bacillus laterosporus,1465,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,NA
Bacillus melolontha  ,NA,NA,NA,NA,NA,NA
Bacillus popilliae,78057,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,NA
Bacillus septicus insectorum  ,NA,NA,NA,NA,NA,NA
Bacillus sphaericus,1421,Lysinibacillus,Bacillaceae,Bacillales,Bacilli,NA
Bacillus sp.,NA,NA,NA,NA,NA,NA
Acremonium psammosporum,745571,Acremonium,NA,Hypocreales,Sordariomycetes,Fungi
Acremonium  sp.,159075,Acremonium,NA,Hypocreales,Sordariomycetes,Fungi
Aspergillus clavatus,5057,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Aspergillus tamarii,41984,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Cephalosporium  sp.,81097,Cephalosporium,NA,Hypocreales,Sordariomycetes,Fungi
Cladosporium sp. ,5498,Cladosporium,Cladosporiaceae,Cladosporiales,Dothideomycetes,Fungi
Coelomomyces iliensis,NA,NA,NA,NA,NA,NA
Coelomomyces ponticulus,NA,NA,NA,NA,NA,NA
Coelomomyces raffaelei,NA,NA,NA,NA,NA,NA
Hirsutella cryptosclerotium,1602202,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Hirsutella versicolor,332603,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Microhilum oncoperae,165218,Microhilum,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Tilachlidiopsis nigra,NA,NA,NA,NA,NA,NA
Tolypocladium lecanii,NA,NA,NA,NA,NA,NA
Paecilomyces farinosus,89141,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Metarhizium sp.,5529,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Coelomomyces punctatus,945691,Coelomomyces,Coelomomycetaceae,Blastocladiales,Blastocladiomycetes,Fungi
Coelomomyces stegomyiae,143960,Coelomomyces,Coelomomycetaceae,Blastocladiales,Blastocladiomycetes,Fungi
Entomophaga maimaiga,42810,Entomophaga,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Filobasidiella arachnophila,5208,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Fungi
Nosema bordati,NA,NA,NA,NA,NA,NA
Penicillium citrinum,5077,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Trichothecium roseum,47278,Trichothecium,NA,Hypocreales,Sordariomycetes,Fungi
Trichothecium  sp.,231006,Trichothecium,NA,Hypocreales,Sordariomycetes,Fungi
Verticillium lecanii,2714763,Akanthomyces,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Paecilomyces fumosoroseus,NA,NA,NA,NA,NA,NA
Beauveria sulfurescens,714969,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Paecilomyces lilacinus,33203,Purpureocillium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Beauveria densa,NA,NA,NA,NA,NA,NA
Furia ithacensis,176680,Furia,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Zoophthora radicans ,42210,Zoophthora,Entomophthoraceae,Entomophthorales,Entomophthoromycetes,Fungi
Neozygites fresenii,1573175,Neozygites,Neozygitaceae,Neozygitales,Neozygitomycetes,Fungi
Ascosphaera aggregata,51564,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Fungi
Ascosphaera apis,5105,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Fungi
Ascosphaera atra,51567,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Fungi
Ascosphaera proliperda,51577,Ascosphaera,Ascosphaeraceae,Onygenales,Eurotiomycetes,Fungi
Cordyceps heteropoda,2651841,Paraisaria,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps koreana,218632,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps nipponica,577453,Polycephalomyces,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps nutans,87751,Ophiocordyceps,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps owariensis,1076521,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps paradoxa,94208,Tolypocladium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps sobolifera,94213,Ophiocordyceps,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps  sp.,45234,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps tricentri,94214,Ophiocordyceps,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps unilateralis,268505,Ophiocordyceps,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Nectria flammea ,57144,Nectria,Nectriaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps brongniartii,118266,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Cordyceps militaris,73501,Cordyceps,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Coelomycidium  sp.,945698,Coelomycidium,NA,NA,Blastocladiomycetes,Fungi
Acremonium berkeleyanum,1045380,Cosmospora,Nectriaceae,Hypocreales,Sordariomycetes,Fungi
Beauveria sp.,5581,Beauveria,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Culicinomyces clavisporus,NA,NA,NA,NA,NA,NA
Aschersonia marginata,370940,Aschersonia,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Aspergillus ochraceus,40380,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Aspergillus oryzae,5062,Aspergillus,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Torrubiella luteorostrata,1105319,Conoideocrella,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Torrubiella tenuis,1105321,Conoideocrella,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Torrubiella tomentosa,NA,NA,NA,NA,NA,NA
Myriangium duriaei,147570,Myriangium,Myriangiaceae,Myriangiales,Dothideomycetes,Fungi
Myriangium montagnei,NA,NA,NA,NA,NA,NA
Myriangium thwaitesii,NA,NA,NA,NA,NA,NA
Nectria aurantiicola,NA,NA,NA,NA,NA,NA
Nectria barbata,NA,NA,NA,NA,NA,NA
Nectria diploa,1053157,Microcera,Nectriaceae,Hypocreales,Sordariomycetes,Fungi
Podonectria aurantii,NA,NA,NA,NA,NA,NA
Podonectria coccicola,1789048,Podonectria,Tubeufiaceae,Tubeufiales,Dothideomycetes,Fungi
Podonectria coccorum,NA,NA,NA,NA,NA,NA
Podonectria echinata,NA,NA,NA,NA,NA,NA
Podonectria novaezeylandica,NA,NA,NA,NA,NA,NA
