"RefCode","Citation","ERNv","HostSpecies","PathogenSpecies","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",1,"Agrilus suvorovi populneus","CPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",2,"Trachys auricollis","IV",2705174,"Trachys","Buprestidae","Coleoptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",3,"Melanophila picta","CPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Kunimi, Y. 1993. A list of insect diseases of Japanese insects.  In Iwahana H.,  Okada M., Kunimi Y., and Shimazu M.  [eds.], Manual for the Research on Insect Pathogens. Nihon Shokubutuboeki-kyoukai, Tokyo, p222.",4,"Batocera lineolata","NPV",583388,"Batocera","Cerambycidae","Coleoptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",5,"Stenodryas clavigera ","IV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",6,"Chrysomela vigintipunctata","IV",153828,"Chrysomela","Chrysomelidae","Coleoptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",7,"Coccinella septempunctata brucki","IV",41139,"Coccinella","Coccinellidae","Coleoptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",8,"Anthonomus grandis","NPV",7044,"Anthonomus","Curculionidae","Coleoptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",9,"Anthonomus grandis","IV",7044,"Anthonomus","Curculionidae","Coleoptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",10,"Curculio dentipes","IV",482598,"Curculio","Curculionidae","Coleoptera","Insecta",NA,NA,NA,NA,NA,NA
