HostSpecies,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass
Choristoneura fumiferana,7141,Choristoneura,Tortricidae,Lepidoptera,Insecta
Camnula pellucida,37261,Camnula,Acrididae,Orthoptera,Insecta
Ostrinia nubilalis,29057,Ostrinia,Crambidae,Lepidoptera,Insecta
Anopheles gambiae,7165,Anopheles,Culicidae,Diptera,Insecta
Aedes cantator,329102,Ochlerotatus,Culicidae,Diptera,Insecta
Agrilus suvorovi populneus,NA,NA,NA,NA,NA
Trachys auricollis,2705174,Trachys,Buprestidae,Coleoptera,Insecta
Melanophila picta,NA,NA,NA,NA,NA
Batocera lineolata,583388,Batocera,Cerambycidae,Coleoptera,Insecta
Stenodryas clavigera ,NA,NA,NA,NA,NA
Chrysomela vigintipunctata,153828,Chrysomela,Chrysomelidae,Coleoptera,Insecta
Anthonomus grandis,7044,Anthonomus,Curculionidae,Coleoptera,Insecta
Curculio dentipes,482598,Curculio,Curculionidae,Coleoptera,Insecta
Anthrenus museorum,1553085,Anthrenus,Dermestidae,Coleoptera,Insecta
Dermestes lardarius,219542,Dermestes,Dermestidae,Coleoptera,Insecta
Macrodorcus rectus,NA,NA,NA,NA,NA
Macrodorcus rubrofemoratus,NA,NA,NA,NA,NA
Heteronychus arator,295550,Heteronychus,Scarabaeidae,Coleoptera,Insecta
Odontria sp.,50575,Odontria,Scarabaeidae,Coleoptera,Insecta
Opogonia sp.,NA,NA,NA,NA,NA
Sericesthis pruinosa,NA,NA,NA,NA,NA
Tenebrio molitor,7067,Tenebrio,Tenebrionidae,Coleoptera,Insecta
Bibio marci,189979,Bibio,Bibionidae,Diptera,Insecta
Calliphora vomitoria,27454,Calliphora,Calliphoridae,Diptera,Insecta
Hypera punctata,36758,Hypera,Curculionidae,Coleoptera,Insecta
Agrotis ipsilon,56364,Agrotis,Noctuidae,Lepidoptera,Insecta
Xestia badinodis,NA,NA,NA,NA,NA
Anticarsia gemmatalis,129554,Anticarsia,Erebidae,Lepidoptera,Insecta
Chrysodeixis eriosoma,254718,Chrysodeixis,Noctuidae,Lepidoptera,Insecta
Cosmia exigua,NA,NA,NA,NA,NA
Diaphania pyloalis,1242752,Glyphodes,Crambidae,Lepidoptera,Insecta
Helicoverpa armigera,29058,Helicoverpa,Noctuidae,Lepidoptera,Insecta
Helicoverpa zea,7113,Helicoverpa,Noctuidae,Lepidoptera,Insecta
Heliothis virescens,7102,Heliothis,Noctuidae,Lepidoptera,Insecta
Hyphantria cunea,39466,Hyphantria,Erebidae,Lepidoptera,Insecta
Pseudaletia unipuncta,103831,Mythimna,Noctuidae,Lepidoptera,Insecta
Pieris rapae,64459,Pieris,Pieridae,Lepidoptera,Insecta
Hypena scabra,95219,Hypena,Erebidae,Lepidoptera,Insecta
Pseudoplusia includens,689277,Chrysodeixis,Noctuidae,Lepidoptera,Insecta
Spodoptera exigua,7107,Spodoptera,Noctuidae,Lepidoptera,Insecta
Spodoptera frugiperda,7108,Spodoptera,Noctuidae,Lepidoptera,Insecta
Spodoptera littoralis,7109,Spodoptera,Noctuidae,Lepidoptera,Insecta
Spodoptera litura,69820,Spodoptera,Noctuidae,Lepidoptera,Insecta
Spodoptera ornithogalli,42029,Spodoptera,Noctuidae,Lepidoptera,Insecta
Trichoplusia ni,7111,Trichoplusia,Noctuidae,Lepidoptera,Insecta
Culicoides arboricola,2510297,Culicoides,Ceratopogonidae,Diptera,Insecta
Corethrella appendiculata,1370023,Corethrella,Chaoboridae,Diptera,Insecta
Chironomus plumosus,33397,Chironomus,Chironomidae,Diptera,Insecta
