ERNntr,PathogenSpecies,CreationDate,ModificationDate,LogMaxDose,HostStageTested,HostSpecies,Group,HighTaxon,LowTaxon,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom
1,Plusia gamma NPV (PgSNPV),1/25/2096,12/28/2000,4 pibs/larva,Larva,Agrotis segetum,Viruses,DNA virus,Baculoviridae,47767,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
2,Pieris brassicae GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Agrotis segetum,Viruses,DNA virus,Baculoviridae,47767,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
3,Plusia gamma NPV (PgSNPV),1/25/2096,12/13/2000,4 pibs/larva,Larva,Agrotis exclamationis,Viruses,DNA virus,Baculoviridae,215162,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
4,Pieris brassicae GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Agrotis exclamationis,Viruses,DNA virus,Baculoviridae,215162,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
5,Pieris brassicae GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Agrotis exclamationis,Viruses,DNA virus,Baculoviridae,215162,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
6,Plusia gamma NPV (PgSNPV),1/25/2096,12/13/2000,4 pibs/larva,Larva,Noctua pronuba,Viruses,DNA virus,Baculoviridae,214277,Noctua,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
7,Pieris brassicae GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Noctua pronuba,Viruses,DNA virus,Baculoviridae,214277,Noctua,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
8,Plusia gamma NPV (PgSNPV),1/25/2096,12/13/2000,4 pibs/larva,Larva,Mamestra brassicae,Viruses,DNA virus,Baculoviridae,55057,Mamestra,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
9,Agrotis segetum GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Mamestra brassicae,Viruses,DNA virus,Baculoviridae,55057,Mamestra,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
10,Pieris brassicae GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Mamestra brassicae,Viruses,DNA virus,Baculoviridae,55057,Mamestra,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
11,Agrotis segetum NPV  (AsMNPV),1/25/2096,2/12/2099,4 pibs/larva,Larva,Lacanobia oleracea,Viruses,DNA virus,Baculoviridae,79499,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
12,Plusia gamma NPV (PgSNPV),1/25/2096,12/13/2000,4 pibs/larva,Larva,Lacanobia oleracea,Viruses,DNA virus,Baculoviridae,79499,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
13,Agrotis segetum GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Lacanobia oleracea,Viruses,DNA virus,Baculoviridae,79499,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
14,Pieris brassicae GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Lacanobia oleracea,Viruses,DNA virus,Baculoviridae,79499,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
15,Agrotis segetum NPV  (AsMNPV),1/25/2096,2/12/2099,4 pibs/larva,Larva,Autographa gamma,Viruses,DNA virus,Baculoviridae,254363,Autographa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
16,Agrotis segetum GV,1/25/2096,2/12/2099,6 pibs/larva,Larva,Autographa gamma,Viruses,DNA virus,Baculoviridae,254363,Autographa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
