RefCode,ERNntr,HostSpecies,PathogenSpecies,Citation,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom
151,1,Agrotis segetum,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",47767,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,2,Agrotis segetum,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",47767,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,3,Agrotis exclamationis,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",215162,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,4,Agrotis exclamationis,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",215162,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,5,Agrotis exclamationis,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",215162,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,6,Noctua pronuba,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",214277,Noctua,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,7,Noctua pronuba,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",214277,Noctua,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,8,Mamestra brassicae,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",55057,Mamestra,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,9,Mamestra brassicae,Agrotis segetum GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",55057,Mamestra,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,10,Mamestra brassicae,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",55057,Mamestra,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,11,Lacanobia oleracea,Agrotis segetum NPV  (AsMNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",79499,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,12,Lacanobia oleracea,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",79499,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,13,Lacanobia oleracea,Agrotis segetum GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",79499,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,14,Lacanobia oleracea,Pieris brassicae GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",79499,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,15,Autographa gamma,Agrotis segetum NPV  (AsMNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",254363,Autographa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,16,Autographa gamma,Agrotis segetum GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",254363,Autographa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,17,Artogeia rapae,Mamestra brassicae NPV (MbMNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",64459,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,18,Artogeia rapae,Agrotis segetum NPV  (AsMNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",64459,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,19,Artogeia rapae,Plusia gamma NPV (PgSNPV),"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",64459,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
151,20,Artogeia rapae,Agrotis segetum GV,"Allaway, G.P. and Payne, C.C. 1984.  Host range and virulence of five baculoviruses from lepidopterous hosts.  Ann. of Appl. Bio. 105: 29-37.",64459,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,21,Choristoneura rosaceana,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",27543,Choristoneura,Tortricidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,22,Choristoneura fumiferana,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",7141,Choristoneura,Tortricidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,23,Artogeia napi,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",78633,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,24,Phyciodes tharos,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",82579,Phyciodes,Nymphalidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
