"","HostOriginal","HostTaxID","HostNCBIResolved","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathNCBIResolved","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom","Group","HighTaxon","Host","HostStageTested","HostTissueInfected","interaction","LogMaxDose","LowTaxon","Pathogen","insectStatus"
"1","Phormia regina","7380",TRUE,"Phormia","Calliphoridae","Diptera","Insecta","753625",TRUE,"Octosporea",NA,NA,NA,"Fungi","Protozoa","Microspora","Phormia regina","","Midgut epithelium",1,NA,"Microsporea (Microsporida)","Octosporea muscaedomesticae","Pest"
"2","Camnula pellucida","37261",TRUE,"Camnula","Acrididae","Orthoptera","Insecta","278021",TRUE,"Antonospora",NA,NA,NA,"Fungi","Protozoa","Microspora","Camnula pellucida","AdultNymph","Fat body",1,NA,"Microsporea (Microsporida)","Nosema locustae","Pest"
"3","Ostrinia nubilalis","29057",TRUE,"Ostrinia","Crambidae","Lepidoptera","Insecta","33697",TRUE,"Nosema","Nosematidae",NA,NA,"Fungi","Protozoa","Microspora","Ostrinia nubilalis","EggLarvaAdultPupa","Malpighian tubules, silk glands, midgut; fat body; Muscle tissue.",1,NA,"Microsporea (Microsporida)","Nosema pyrausta","Pest"
"4","Anopheles gambiae","7165",TRUE,"Anopheles","Culicidae","Diptera","Insecta","103449",TRUE,"Vavraia","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Anopheles gambiae","Larva","Malpighian tubules; fat body; intestine",1,NA,"Microsporea (Microsporida)","Vavraia culicis","Pest"
"5","Aedes cantator","329102",TRUE,"Ochlerotatus","Culicidae","Diptera","Insecta","67759",TRUE,"Amblyospora","Amblyosporidae",NA,NA,"Fungi","Protozoa","Microspora","Aedes cantator","LarvaAdult","",1,NA,"Microsporea (Microsporida)","Amblyospora connecticus","Pest"
"6","Hypera punctata","36758",TRUE,"Hypera","Curculionidae","Coleoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Hypera punctata","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"7","Agrotis ipsilon","56364",TRUE,"Agrotis","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Agrotis ipsilon","","",1,NA,"unknown","Nomuraea rileyi","Pest"
"8","Xestia badinodis",NA,FALSE,NA,NA,NA,NA,"1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Xestia badinodis","","",1,NA,"unknown","Nomuraea rileyi","Wildlife"
"9","Anticarsia gemmatalis","129554",TRUE,"Anticarsia","Erebidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Anticarsia gemmatalis","Larva","",1,NA,"unknown","Nomuraea rileyi","Pest"
"10","Chrysodeixis eriosoma","254718",TRUE,"Chrysodeixis","Noctuidae","Lepidoptera","Insecta","1649241",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi","Fungi","Deuteromycetes","Chrysodeixis eriosoma","","",1,NA,"unknown","Nomuraea rileyi",NA
