PathogenSpecies,Group,HighTaxon,LowTaxon,
Diplococcus melolonthae,Bacteria,Non-spore-forming bacteria,Neisseriaceae,
Diplococcus  sp.,Bacteria,Non-spore-forming bacteria,Neisseriaceae,
Hafnia  sp.,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Strategus anataeus,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Lambornella clarki,Mollicutes,Ciliophora,Oligohymenophorea (Hymenostomatida),
Flavescence doree,Mollicutes,Mycoplasma,Mycoplasmataceae,
Rickettsiella popilliae,Bacteria,Non-spore-forming bacteria,Rickettsiaceae,
Enterobacter cloacae,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Enterobacter  sp.,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Escherichia freundii,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Proteus inconstant,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Proteus mirabilis,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Proteus morganii,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Proteus vulgaris,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Serratia entomophila,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Serratia marcescens,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Serratia piscatorum,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Serratia proteamaculans,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Serratia sp.,Bacteria,Non-spore-forming bacteria,Enterobacteriaceae,
Pseudomonas aeruginosa,Bacteria,Non-spore-forming bacteria,Pseudomonadaceae,
Pseudomonas chlororaphis,Bacteria,Non-spore-forming bacteria,Pseudomonadaceae ,
Pseudomonas fluorescens,Bacteria,Non-spore-forming bacteria,Pseudomonadaceae,
Pseudomonas septida,Bacteria,Non-spore-forming bacteria,Pseudomonadaceae,
Pseudomonas sp.,Bacteria,Non-spore-forming bacteria,Pseudomonadaceae,
Aeromonas  sp.,Bacteria,Non-spore-forming bacteria,Vibrionaceae,
Acinetobacter calcoaceticus,Bacteria,Non-spore-forming bacteria,Neisseriaceae,
Micrococcus candidus,Bacteria,Non-spore-forming bacteria,Micrococcaceae,
Micrococcus flavus,Bacteria,Non-spore-forming bacteria,Micrococcaceae,
Micrococcus nigrofaciens,Bacteria,Non-spore-forming bacteria,Micrococcaceae,
