ERNv,Host,HighTaxon,LowTaxon,Virus,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,CreationDate,ModificationDate,ProvinceA,PathogenValue,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom,Group
1,Agrilus suvorovi populneus,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
2,Trachys auricollis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,2705174,Trachys,Buprestidae,Coleoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
3,Melanophila picta,RNA virus,Reoviridae,CPV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10880,NA,Reoviridae,Reovirales,Resentoviricetes,Orthornavirae,Virus
4,Batocera lineolata,DNA virus,Baculoviridae,NPV,,,Field,Japan,,1/8/2096,2/12/2099,,,583388,Batocera,Cerambycidae,Coleoptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
5,Stenodryas clavigera,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,NA,NA,NA,NA,NA,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
6,Chrysomela vigintipunctata,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,153828,Chrysomela,Chrysomelidae,Coleoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
7,Coccinella septempunctata brucki,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,12/21/2000,,,41139,Coccinella,Coccinellidae,Coleoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
8,Anthonomus grandis,DNA virus,Baculoviridae,NPV,,,,,,1/8/2096,2/12/2099,,,7044,Anthonomus,Curculionidae,Coleoptera,Insecta,10442,NA,Baculoviridae,Lefavirales,Naldaviricetes,NA,Virus
9,Anthonomus grandis,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,7044,Anthonomus,Curculionidae,Coleoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
10,Curculio dentipes,DNA virus,Iridoviridae,IV,,,,,,1/8/2096,2/12/2099,,,482598,Curculio,Curculionidae,Coleoptera,Insecta,10486,NA,Iridoviridae,Pimascovirales,Megaviricetes,Bamfordvirae,Virus
